,Song,Tags
280,Sh-Boom,"thebestofthecrewcut thecrewcut doo-wop,vocalharmonygroup"
281,You Belong To Me,theultim jostafford torchsong
282,Oh! My Pa-Pa  - 2001 Remastered,"greatesthit eddiefish adultstandards,easylisten"
283,I Get so Lonely,herecome...thefourknights! thefourknight vocalharmonygroup
284,Three Coins In The Fountain,"thefouracesgreatesthit thefouraces,alalbert vocalharmonygroup,adultstandards,easylistening,doo-wop,rock-and-rol"
285,Secret Love,"calamityjan dorisday adultstandards,lounge,easylistening,vocaljazz"
286,Hernandos Hideaway,"archiebleyersbest archiebleyer&hisorchestra bigband,""mansorchestra"""
287,Young At Heart,"sinatrassinatra franksinatra adultstandards,lounge,easylisten"
288,This Ole House - Single Version,"theessentialrosemaryclooney rosemaryclooney adultstandards,torchsong,easylistening,vocaljazz"
289,I Need You Now - 2001 Remastered,"greatesthit eddiefish adultstandards,easylisten"
290,Cross Over The Bridge,"goldenhit pattipag adultstandards,easylisten"
291,The Little Shoemaker,thebestofthegaylord thegaylord vocalharmonygroup
292,Thats Amore,"deanmartin:thecapitolrecordings,vol.4(1952-1954) deanmartin,dickstabileandhisorchestra adultstandards,lounge,easylistening,vocaljazz"
293,The Happy Wanderer,fromyourlip frankweir deepadultstandard
294,"Answer Me, My Love","thenatkingcolestori natkingcol adultstandards,swing,vocaljazz,lounge,soul"
295,Stranger In Paradise,"duetsii tonybennett,andreabocelli adultstandards,easylistening,operaticpop,vocaljazz,lounge,italiantenor,classicaltenor"
296,If I Give My Heart to You,"goldengirl(thecolumbiarecordings1944-1966) dorisday,themellomen adultstandards,easylistening,movietunes,vocaljazz,loung"
297,If You Love Me,thedefinitivekaystarroncapitol kaystarr torchsong
298,Streets of London,spiralstaircase(expandededition) ralphmctel britishfolk
299,Hold My Hand,presentingdoncornel doncornel deepadultstandard
300,Changing Partners,"goldenhit pattipag adultstandards,easylisten"
301,Papa Loves Mambo,"puregold perrycomo adultstandards,easylisten"
302,"Shake, Rattle And Roll","rockaroundtheclock billhaley&hiscomet rock-and-roll,rockabilli"
303,Rags to Riches,"thecolumbiasingles,vol.2 tonybennett adultstandards,lounge,easylistening,vocaljazz"
304,In the Chapel in the Moonlight,imoldfashion kittykallen torchsong
305,Stranger in Paradise,"strangerinparadis thefourac vocalharmonygroup,adultstandards,easylistening,doo-wop,rock-and-rol"
306,Here,greatesthit tonymartin deepadultstandard
307,Cherry Pink And Apple Blossom White,"mambono5 pérezprado mambo,spaceagepop"
308,Rock Around The Clock,"rockaroundtheclock billhaley&hiscomet rock-and-roll,rockabilli"
309,The Yellow Rose of Texas - Single Version,greatesthit mitchmil easylisten
310,Autumn Leaves,songsofthefabulousfifti rogerwilliam easylisten
311,Unchained Melody,"baxtersbest lesbaxt easylistening,laboratorio,exotica,lounge,librarymus"
312,The Ballad of Davy Crockett,"classicdisneysongs:relaxingpianotribut coverkid bigband,""mansorchestra"""
313,Love Is A Many-Splendored Thing,"thefouracesgreatesthit thefouraces,alalbert vocalharmonygroup,adultstandards,easylistening,doo-wop,rock-and-rol"
314,Sincerely,"theantholog themcguiresist doo-wop,vocalharmonygroup,easylisten"
315,Aint That A Shame,"thegoldcollect patboon rockabilly,rock-and-roll,adultstandards,easylisten"
316,"Dance With Me, Henry  - Live On The Ed Sullivan Show, May 1, 1955","dancewithme,henry(wallflower)liveontheedsullivanshow,may1,1955 georgiagibb deepadultstandard"
317,The Crazy Otto Medley,redhotragtimevolume1 johnnymaddox honky-tonkpiano
318,Melody Of Love,"sweetmusicandmemori billyvaughn spaceagepop,easylisten"
319,Sixteen Tons,"sixteenton tennesseeernieford westernswing,bluegrassgospel,countryboogie,yodeling,countrygospel"
320,Learnin The Blues,"franksinatra:thecompletecapitolsinglescollect franksinatra adultstandards,lounge,easylisten"
321,Hearts of Stone,"thefonta thefontanesist vocalharmonygroup,deepadultstandard"
322,Tweedle Dee,thebestofgeorgiagibbs:themercuryyear georgiagibb deepadultstandard
323,Moments To Remember,"16mostrequestedsong thefourlad doo-wop,vocalharmonygroup"
324,Mr. Sandman,"thechordettesbest thechordett doo-wop,classicgirlgroup,vocalharmonygroup"
325,"Let Me Go, Lover",radiohitsofthe50 joanweb deepadultstandard
326,A Blossom Fell,"thenatkingcolestori natkingcol adultstandards,swing,vocaljazz,lounge,soul"
327,Unchained Melody,"presentingalhibbl alhibbl bigband,""mansorchestra"""
328,The Ballad of Davy Crockett,"fessparkerstarofthetvseries,""danielboone""singsaboutdanielboone,davycrockett,abelincoln fesspark movietun"
329,Honey-Babe,"thelostsinglescollection-instrumentalcollect artmooney bigband,""mansorchestra"""
330,The Ballad Of Davy Crockett,"thecapitolsingles1953-1955 tennesseeernieford westernswing,bluegrassgospel,countryboogie,yodeling,countrygospel"
331,And I Love You So,"itsimposs perrycomo adultstandards,easylisten"
332,Hard to Get,"classicgisel giselemackenzi bigband,""mansorchestra"""
333,The Naughty Lady of Shady Lane,"theamazingamesbroth theamesbroth vocalharmonygroup,easylisten"
334,Cant Hide Love,"jayep.morgan jayep.morgan bigband,""mansorchestra"""
335,Only You,"theplattersgoldenhit theplatt rockabilly,rock-and-roll,adultstandards,easylisten"
336,Its a Sin - 2018 Remaster,"actually:furtherlistening1987-1988(2018remaster) petshopboy dancerock,newwavepop,synthpop,artpop,newromantic,permanentwave,newwav"
337,Heartbreak Hotel,"elvis30#1hits(expandededition) elvispresley rock-and-roll,rockabilli"
338,Dont Be Cruel   Karaoke Version,karaokehitsfrom1956 ameritzcountdownkaraok karaok
339,Lisbon Antigua,thebestofnelsonriddl nelsonriddl easylisten
340,My Prayer,"theplatt theplatt rockabilly,rock-and-roll,adultstandards,easylisten"
341,The Wayward Wind,gogigr gogigr deepadultstandard
342,Hound Dog,"elvisgoldenrecord elvispresley rock-and-roll,rockabilli"
343,The Poor People Of Paris,"skin lesbaxt easylistening,laboratorio,exotica,lounge,librarymus"
344,"Whatever Will Be, Will Be","withasmileandasong dorisday,frankdevol&hisorchestra adultstandards,easylistening,""mansorchestra"",vocaljazz,loung"
345,Memories Are Made Of This,"hey,brotherpourthewin deanmartin adultstandards,lounge,easylistening,vocaljazz"
346,The Rock And Roll Waltz,thefabulousfavorit kaystarr torchsong
347,Moonglow and Theme from Picnic,"themagicofmanuel manuel&themusicofthemountain lightmusic,easylisten"
348,The Great Pretender,"theplattersgoldenhit theplatt rockabilly,rock-and-roll,adultstandards,easylisten"
349,I Almost Lost My Mind,"patboonesgreatesthits(reissue) patboon rockabilly,rock-and-roll,adultstandards,easylisten"
350,"I Want You, I Need You, I Love You","elvisgoldenrecord elvispresley rock-and-roll,rockabilli"
351,Love Me Tender,"elvis30#1hit elvispresley rock-and-roll,rockabilli"
352,Hot Diggity,"puregold perrycomo adultstandards,easylisten"
353,Canadian Sunset - Single Version,"canadiansunset(expandededition) eddieheywood bigband,""mansorchestra"""
354,Blue Suede Shoes,"thedancealbum carlperkin rock-and-roll,rockabilli"
355,The Green Door,"thewildwackyamnoveltysong jimlow bigband,""mansorchestra"""
356,No Not Much,"16mostrequestedsong thefourlad doo-wop,vocalharmonygroup"
357,Honky Tonk Pt. 1,"leapsandbound billdoggett jazzorgan,souljazz"
358,Sixteen Tons,"sixteenton tennesseeernieford westernswing,bluegrassgospel,countryboogie,yodeling,countrygospel"
359,Just Walkin in the Rain,"16mostrequestedsong johnnieray rock-and-roll,adultstandards,deepadultstandard"
360,Allegheny Moon,"goldenhit pattipag adultstandards,easylisten"
361,Im in Love Again   Karaoke Version,"thekaraokechannel-toppophitsof1956,vol.4 thekaraokechannel karaok"
362,Tonight You Belong To Me,"losthitsofthe50 patience&prud classicgirlgroup,deepadultstandard"
363,Be-Bop-A-Lula,"dancetothebop genevincent&hisbluecap rock-and-roll,rockabilli"
364,Why Do Fools Fall In Love?,"milestonesof""the""legends-boygroups,vol.8 frankielymon&theteenag doo-wop,rock-and-rol"
365,Standing On the Corner,"16mostrequestedsong thefourlad doo-wop,vocalharmonygroup"
366,Flyin Saucers Rock & Roll,"flyinsaucersrock&roll/iwantyoubabi billyleeriley arkansascountry,rockabilly,rock-and-rol"
367,Moonglow and Theme from Picnic,"themagicofmanuel manuel&themusicofthemountain lightmusic,easylisten"
368,Ivory Tower,"acesgoldenageofamericanhits,vol.1 cathycarr deepadultstandard"
369,"See You Later, Alligator","rockinthejoint billhaley&hiscomet rock-and-roll,rockabilli"
370,Ill Be Home - Single Version,"patboonesgreatesthits(reissue) patboon rockabilly,rock-and-roll,adultstandards,easylisten"
371,On The Street Where You Live,"onthestreetwhereyoul vicdamon adultstandards,easylisten"
372,The Magic Touch,"superhitsfrom1956 theplatt rockabilly,rock-and-roll,adultstandards,easylisten"
373,Born to Be With You,"thechordettesbest thechordett doo-wop,classicgirlgroup,vocalharmonygroup"
374,Band of Gold,"thebestofdoncherri doncherry,rayconniff easylisten"
375,More  - Remastered,"today&yesterday perrycomo,mitchellayres&hisorchestra,theraycharlessing adultstandards,easylistening,""mansorchestra"""
376,Singing the Blues,"presentingguymitchel guymitchel rock-and-roll,deepadultstandard"
377,Blueberry Hill,"fatsdominosw fatsdomino rockabilly,neworleansblues,louisianablues,rock-and-roll,pianoblu"
378,The Fool,presentingsandfordclark sanfordclark classicoklahomacountri
379,The Happy Whistler,"capitolrecordsfromthevaults:""thebestof56"" donrobertson bigband,""mansorchestra"""
380,True Love  - 2006 Remaster,"thatsentertainment(theultimatesoundtrackanthologyofmgmmusicals) bingcrosby,gracekelli straight-aheadjazz,adultstandards,lounge,easylisten"
381,Long Tall Sally,"hereslittlerichard(deluxeedition) littlerichard rock-and-roll,blues,rockabilly,soul"
382,Music! Music! Music!,asweetold-fashionedgirl teresabrew deepadultstandard
383,Transfusion,transfusion:thebizarrebestofnervousnorvu nervousnorvu songpoem
384,It Only Hurts for a Little While,"theamazingamesbroth theamesbroth vocalharmonygroup,easylisten"
385,A Tear Fell,teresa(expandededition) teresabrew deepadultstandard
386,Rock Island Line,rockislandline-thesinglesantholog lonniedonegan&hisskifflegroup skiffl
387,All Shook Up,"usapatrioticclass elvispresley rock-and-roll,rockabilli"
388,Love Letters In The Sand - Single Version,"patboonesgreatesthits(reissue) patboon rockabilly,rock-and-roll,adultstandards,easylisten"
389,Little Darlin,"thebestofthediamond thediamond rock-and-roll,rhythmandblues,rockabilli"
390,Young Love,theyoungloveoftabhunt tabhunt deepadultstandard
391,So Rare,"presentingjimmydorsey jimmydorsey,tommydorsey bigband,jazzclarinet,adultstandards,tinpanalley,vintagejazz,easylistening,swing,jazztrombone,dixieland"
392,Dont Forget About Me,"dontforgetaboutm d4vd bedroomr&b,bedroompop"
393,Singing the Blues,"presentingguymitchel guymitchel rock-and-roll,deepadultstandard"
394,Young Love,thesonnysid sonnyjam nashvillesound
395,Too Much,"elvis30#1hits(expandededition) elvispresley rock-and-roll,rockabilli"
396,Round And Round - Remastered - 1992,"today&yesterday perrycomo adultstandards,easylisten"
397,Bye Bye Love,"theverybestoftheeverlybroth theeverlybroth rockabilly,adultstandards,sunshinepop,rock-and-roll,mellowgold,folkrock"
398,Tammy,"oldies101 debbiereynold vintagehollywood,adultstandards,easylisten"
399,Party Doll,"buddyknox buddyknox doo-wop,rock-and-roll,rhythmandblues,rockabilli"
400,Teddy Bear,"lovingy elvispresley rock-and-roll,rockabilli"
401,Day-O,verybestofharrybelafont harrybelafont calypso
402,Jailhouse Rock,"platinum-alifeinmus elvispresley rock-and-roll,rockabilli"
403,A White Sport Coat,"thestoryofmylife:thebestofmartyrobbins1952-1965 martyrobbins,rayconniff nashvillesound,easylistening,cowboywestern"
404,Come Go With Me,"comegowithme:thebestofthedel-vik thedel-vik doo-wop,rock-and-roll,rhythmandblu"
405,Wake up Little Susie,"theverybestoftheeverlybroth theeverlybroth rockabilly,adultstandards,sunshinepop,rock-and-roll,mellowgold,folkrock"
406,You Send Me,"acupidsvalentin samcook classicsoul,soul,vocaljazz"
407,Searchin,"thecoast thecoast doo-wop,rock-and-roll,rockabilli"
408,School Days - 1967 Version,"chuckberrysgoldenhit chuckberri rockabilly,classicrock,blues,rock-and-roll,rock,soul,bluesrock"
409,Gone,ferlinhuski ferlinhuski nashvillesound
410,Diana,"singshisfavorit paulanka adultstandards,canadianpop,easylisten"
411,A Teenagers Romance,"legaci rickynelson doo-wop,rock-and-roll,adultstandards,rockabilli"
412,The Banana Boat Song,thetarri thetarri americanfolkreviv
413,Honeycomb,jimmierodg jimmierodg yodel
414,Whole Lot Of Shakin Going On - Single Version,"wholelottashakingoingon/itllbem jerryleelewi rock-and-roll,rockabilly,pianorock"
415,Dark Moon,darkmoon:thebestofgalestorm galestorm deepadultstandard
416,"Thatll Be The Day - Live On The Ed Sullivan Show, December 1, 1957","thatllbetheday(liveontheedsullivanshow,december1,1957) buddyholly&thecricket rock-and-roll,rockabilli"
417,Butterfly,thebestofcharliegracie1956-1958 charliegraci rockabilli
418,Moonlight Gambler,"16mostrequestedsong frankielain rock-and-roll,adultstandards,easylistening,cowboywestern"
419,Teen-Age Crush,capitolcollectorsseri tommysand deepadultstandard
420,Its Not For Me To Say,"johnnysgreatesthit johnnymathi adultstandards,easylisten"
421,Silhouettes,presentingtheray theray doo-wop
422,Butterfly - 1957 #1 Billboard chart hit,"andywilliamsbest andywilliam adultstandards,easylisten"
423,Marianne,"theeasyrid theeasyrid bigband,""mansorchestra"""
424,Fats Domino Medley - Yes Its Me Im in Love Again / Im Walkin / I Want to Walk You Home / Walking to New Orleans / My Blue Heaven / Blue Monday / Blueberry Hill,"onthe1957rock&rollgreyhoundbu diamonddavesomervil bigband,""mansorchestra"""
425,Chances Are,"johnnysgreatesthit johnnymathis,rayconniff adultstandards,easylisten"
426,Send For Me,"thenatkingcolestori natkingcol adultstandards,swing,vocaljazz,lounge,soul"
427,Rainbow,presentingrusshamilton russhamilton deepadultstandard
428,Be-Bop Baby - Remastered,"ricky(expandededition/remastered) rickynelson doo-wop,rock-and-roll,adultstandards,rockabilli"
429,Short Fat Fannie,"hereslarrywilliam larrywilliam doo-wop,rock-and-roll,rhythmandblues,rockabilli"
430,The Green Door,"thewildwackyamnoveltysong jimlow bigband,""mansorchestra"""
431,Im Gonna Sit Right Down and Write Myself a Letter,billywilliam billywilliam deepadultstandard
432,Old Cape Cod,"goldenhit pattipag adultstandards,easylisten"
433,Mr. Lee,"mr.lee:thebestofthebobbett thebobbett doo-wop,classicgirlgroup,rhythmandblu"
434,Blueberry Hill,"fatsdominosw fatsdomino rockabilly,neworleansblues,louisianablues,rock-and-roll,pianoblu"
435,Whispering Bells,"comegowithme:thebestofthedel-vik thedel-vikings,kripsjohnson doo-wop,rock-and-roll,rhythmandblu"
436,Blue Monday,"fatsdominosw fatsdomino rockabilly,neworleansblues,louisianablues,rock-and-roll,pianoblu"
437,Nel blu dipinto di blu - Aka: Volare,"domenicomodugno domenicomodugno classicitalianpop,italianadultpop"
438,All I Have to Do Is Dream,"theverybestoftheeverlybroth theeverlybroth rockabilly,adultstandards,sunshinepop,rock-and-roll,mellowgold,folkrock"
439,The Wonder of You,"theessentialelvispresley elvispresley rock-and-roll,rockabilli"
440,Witch Doctor,ultimatekidshalloweenpartyalbum davidsevil novelti
441,Patricia,"coleccionorigin pérezprado mambo,spaceagepop"
442,Sail Along Silvry Moon,"sailalongsilvrymoon billyvaughn spaceagepop,easylisten"
443,Catch a Falling Star,"puregold perrycomo,mitchellayres&hisorchestra,theraycharlessing adultstandards,easylistening,""mansorchestra"""
444,Tequila,greatesthits/tequila thechamp surfmus
445,Its All In The Game,"it’sallinthegam tommyedward doo-wop,rhythmandblues,deepadultstandard"
446,Return To Me  - 1997 Remaster,"thisisdeanmartin deanmartin adultstandards,lounge,easylistening,vocaljazz"
447,Its Only Make Believe,"conwaytwittys conwaytwitti arkansascountry,classiccountrypop,countryrock,countri"
448,The Purple People Eater,"thepurplepeopleeat shebwooley novelty,com"
449,Devoted to You,"theverybestoftheeverlybroth theeverlybroth rockabilly,adultstandards,sunshinepop,rock-and-roll,mellowgold,folkrock"
450,Get a Job,"getajob thesilhouett doo-wop,rhythmandblu"
451,Little Star,littlestar:thebestoftheeleg theeleg doo-wop
452,Twilight Time - Single Version,"theflyingplattersaroundtheworld theplatt rockabilly,rock-and-roll,adultstandards,easylisten"
453,Lonesome Town,"rickysingsagain(expandededition/remastered) rickynelson doo-wop,rock-and-roll,adultstandards,rockabilli"
454,Hes Got The Whole World In His Hands,"losthitsofthe50 laurielondon bigband,""mansorchestra"""
455,Secretly,thebestofjimmierodg jimmierodg yodel
456,At The Hop,"rockinwithdannyandthejuniors(expandededition) danny&thejunior doo-wop,rock-and-roll,rhythmandblues,rockabilli"
